92366715,杭州,13
86828976,null,1
74538339,福州,3
42648347,万宁,1
10743145,深圳,2
57323147,null,1
91487486,null,1
34012667,北京,5
92824676,二维图个人,1
62044084,广州,1
92930931,上海,2
808357,北京,6
62459431,null,1
71609037,哈尔滨,1
53981005,西安,1
19285299,云南个旧,4
90141757,null,5
76483326,西安,3
71712051,温州,1
73588901,苏州,1
17635347,西安,3
10198206,北京,2
78780745,中国  重庆,9
58956968,乳源,1
68986146,null,1
80417413,南宁,1
86883852,邯郸,9
113914,北京,9
17486253,null,33
50276935,武汉,1
17665132,河南,2
38076541,南京,9
56624035,null,3
10664979,null,2
88808466,桑当,1
60330980,常州,4
74430929,北京,1
91459708,广州,7
19199205,广西柳州,4
5245854,null,3
34996408,上海,13
76927228,成都,8
86081497,广东广州,3
46811302,null,2
72833104,上海,2
71351363,广州,5
42240629,null,1
54936381,null,2
81888293,中国,5
52013653,浙江台州,2
85834339,深圳,1
5063774,上海,32
321533,null,3
58852796,null,1
43980723,上海,1
60287402,null,1
45215282,null,1
62716917,舟山,7
38234234,拉科鲁尼亚,1
3193948,朝阳区,14
52797021,北京,1
93023266,null,1
75791642,北京,2
33069966,乌鲁木齐,11
52976344,绥化,1
5033184,null,6
40289313,null,1
5411475,南京,6
50215146,null,2
40102260,tj,5
90528381,江苏扬州,2
19222075,慈溪,7
39189283,null,2
43557262,大兴安岭,18
63056687,合肥,30
17387769,天津,67
36820048,天津,3
70492604,null,1
83541703,null,1
47242473,绍兴,1
51518107,永川,2
41363285,null,1
75224649,杭州,1
773643,天津,9
75723548,泉州,2
43072255,山东蓬莱,2
56537280,杭州,2
75662844,null,1
61759788,上海,1
64217489,福州,1
56477129,广州,1
73447446,null,1
90184093,哈尔滨,3
61913576,海口,1
10275115,辽宁丹东,11
59354597,上海,2
78972740,吉林,4
41523064,南京,1
90398179,null,1
80883004,null,1
85347601,青岛,1
73442394,广州,2
86072841,青岛,1
45018215,郴州,1
86297341,null,2
5264444,珠海,3
980191,null,1
53443030,河北,5
75720046,null,1
65585651,南京,26
51568133,null,2
77997305,唐山,2
53121422,广州,4
71850591,河北唐山,3
78500449,null,4
90377278,null,2
65387028,湘潭,7
49850415,深圳,1
17364747,长沙,3
83255754,苏州,1
63166203,成都,1
52669962,null,1
65213545,北京,6
87663427,百色,1
51034445,双鸭山,2
42766126,天津,1
32663762,null,2
10432124,null,1
64851578,成都,14
93097023,null,2
76167542,合肥,1
19037883,郑州,63
77760766,宁波,6
76278284,null,3
64084025,马努考,1
90378375,广州,2
54900822,西安,3
82771529,北京,2
56735022,null,3
66809019,北京,1
38472727,武汉,1
46315820,null,2
55806077,丽江,10
35205813,北京,1
17646077,北京,3
19302160,null,5
31322987,广州,1
30953002,湖北武汉,1
90378103,null,2
39484822,北京,8
81140929,海淀,1
79394649,长沙,1
51418395,null,31
72867659,湖北十堰,3
17650215,北京,15
86325459,新加坡,9
5590855,China,24
49523870,null,2
86488943,扬州,4
93023571,null,1
17564575,上海,4
17652421,北京,5
38920814,null,1
84573183,杭州,1
82120729,null,1
58861033,北京,1
90387517,null,1
55636803,太仓,7
32283749,北京,2
17234775,北京,2
61292353,丹东,1
88082036,长沙,1
71821044,天津,4
67899864,成都,1
19262978,null,2
75339007,运城,5
82946403,杭州,1
36514733,北京,2
48449574,香港,1
16017828,上海,45
76718490,沈阳,13
43054893,苏州,1
88455909,西安,1
34670338,null,1
72509095,null,2
93113540,广州,102
87103620,成都,2
65698011,金华,1
63750455,null,
72074560,null,1
19837452,天津,18
65960310,广州,5
65032041,杭州,1
378648,上海,15
48288545,朝阳区,5
54363787,广州,1
91602237,无锡,2
39363690,上海,1
90513812,苏州,7
93113804,大同,11
871809,Beijing,6
32947608,北京,1
82969416,天津,3
56787659,成都,1
80779115,天津,2
48936286,北京,1
182403,成都,42
53491221,郴州,1
88950244,北京,4
43044510,河北,8
69113840,杭州,3
19191496,null,2
19295601,琼/川,1
41593144,合肥,5
71886933,null,1
36764850,null,2
44144508,武汉,1
277595,北京,20
44711273,北京,1
65504890,null,3
91664559,null,1
91582703,上海,2
85564644,广元,1
73208273,金华,1
501913,北京,4
59965625,null,
81546670,北京,5
43189612,北京,1
48167944,null,5
84771038,广州,1
41688055,青岛,2
40884900,衢州,1
49942088,北京,1
88556775,东城,1
74917919,杭州,2
85749824,青岛,4
383374,上海,38
70921802,西安,4
59090849,null,2
47906767,北京,2
92985901,北京,1
85961794,宁波,1
403955,天津,1
196252,天津,3
41909076,邢台,1
68509096,贵阳,9
53210610,松原,1
83507508,null,1
5194104,西安,3
58391507,承德,1
898040,辽宁,59
69484058,null,3
92765080,重庆,6
83757417,null,27
36996021,北京,1
68862787,null,1
72660930,北京,6
36779506,重庆,6
69277989,南京,1
1018463,北京市,1
79034067,null,2
57353549,福州,2
5381697,null,6
84036723,长春,3
1146612,天津,38
50415309,null,1
79567157,南宁,2
74790982,通州,3
445673,北京,3
19113243,成都,1
78136603,福建,1
85068549,无锡,5
19329934,湖北,4
974711,北京,1
5405071,朝阳区,5
87196196,成都,1
70153591,上海,1
84921075,null,1
17062699,北京,10
78632366,无锡,1
46160823,西藏林芝,1
85087574,朝阳区,1
17208984,上海,5
78104987,null,2
84765390,海宁,1
193656,杭州,18
76225048,杭州,2
76890925,惠州,1
55640988,null,2
727022,上海,11
63316395,北京,3
10354619,北京,5
90311885,嘉兴,3
47187577,上海,5
64854124,河北廊坊,2
36075399,重庆,1
5249203,韩国,1
40817251,岳阳,1
55929469,null,1
37304410,null,2
47702085,null,1
224778,长沙女儿、北京媳妇,25
19378543,天津,10
20025418,null,2
72934653,南京,3
83161540,苏州,83
53585678,null,3
81687560,成都,1
75130065,null,1
59280010,武汉,1
39684330,null,2
5668425,北京,12
67299342,南京,1
93074061,雅安,2
81539475,null,1
17170477,上海,9
31147326,南岸,1
91473564,null,4
83267043,null,3
34645536,null,7
84344391,天津,5
52890122,雷克雅未克,1
65928877,西安,1
88513477,哈尔滨,2
76378481,杭州,1
33849256,北京,2
19755958,广州,2
40997195,台州,1
73460266,兰州,2
33644925,武汉,1
93017558,武汉,1
63031617,北京,6
54116496,西安,1
40822266,重庆,1
53918602,巴黎,1
18101844,首尔,2
88997839,长沙,1
80040646,null,3
51765715,三亚,1
75311973,深圳,1
35040425,null,3
31797677,北京,2
56221811,null,1
92964794,晋城,2
48427987,null,
90505095,重庆,2
19030873,柳州,31
42612590,济南,4
381521,null,2
80522454,武汉,1
43034471,null,2
987598,山东聊城,7
61654545,西岭雪山,1
56344935,上海,6
34251311,上海,2
19514062,南昌,2
1140193,沈阳,2
69157706,三亚,2
82499130,上海,3
86959833,西安,4
81121985,null,3
49228537,null,1
90398346,海淀,1
86300215,重庆,2
51775860,广州,1
83265509,西安,2
51718854,null,1
72408951,南通,8
30267213,海淀区,4
55877145,武汉,1
10639491,河北 石家庄,11
63403979,null,2
34143226,郑州,1
80430703,北京,3
10962822,天津,3
83727859,成都,1
38359869,上海,3
526880,null,6
75712174,Shanghai,3
72915865,马德里,2
280823,北京,21
60571642,null,1
46013024,广西,3
38582276,null,1
80447471,null,3
88856290,上海,3
17143936,南宁,58
5129807,宁波,29
93023158,null,1
78895764,null,6
61609285,null,6
39585431,null,2
303435,null,2
60075296,null,10
5232851,北京,7
19839194,太原,2
5079023,宝山区,6
19006486,北京,8
66206661,芜湖,1
84018488,null,1
72932057,上海,3
81831909,null,1
17806393,北京,39
17381977,天津,5
38361479,null,10
259173,广州,9
77671087,绍兴,3
52016718,北京,2
10107154,null,2
17126716,上海,3
17779017,广州,1
68637855,上海,10
55149380,遂宁,1
50948302,上海,5
68300646,郑州,8
10222689,石家庄,9
90401233,洛阳,1
61424795,杭州,1
57704695,null,1
81763137,null,2
45577417,朝阳区,6
75665891,null,1
36403787,广州,1
57501526,杭州,10
50167940,天津,6
85211522,南京,2
91814729,null,1
36994992,哈尔滨,2
36198582,null,2
30328108,北京,1
53420930,杭州,1
56433645,null,2
92619478,西安,1
55392727,北京,1
54555616,济南,1
37707493,渝中,1
87626759,null,1
87469490,成都,9
52835643,null,1
41350311,杭州,4
45186417,成都,1
31769238,南昌,1
38334859,null,3
91504188,null,1
