19030333,30,1656.009,10
366605,45,1707.71,11
638967,10,145.356,12
638967,10,145.356,12
413915,18,145.356,12
5557407,4,500.305,1
1089414,3,1633.446,1
791673,12,268.954,3
19880174,2,521.148,3
5162792,11,302.834,5
405931,12,1743.862,6
45799518,65,2265.583,6
17786007,27,145.356,6
538337,34,145.356,8
19763602,19,138.895,8
5536007,17,1312.704,10
19880174,2,478.536,10
32428187,3,126.651,10
53736688,6,84.992,1
17535482,8,145.356,1
45799518,65,2298.338,3
33388643,24,161.315,3
59088766,5,203.577,4
64573043,83,1743.862,5
64573043,83,1743.862,5
17786007,27,78.646,5
64573043,83,1707.71,5
30560554,13,75.687,6
80495171,3,1187.267,6
36367201,8,145.356,7
19637545,2,123.558,7
75636950,19,371.76,7
75636950,19,371.76,7
5336359,8,126.651,8
30560554,13,74.857,8
38792191,66,97.85,9
38792191,66,51.128,9
38792191,66,72.16,9
34990584,6,161.315,9
38792191,66,126.651,9
59507292,9,302.834,9
59507292,9,302.834,9
17572109,6,145.356,10
38792191,66,161.315,10
17402993,81,1312.704,12
17402993,81,1285.276,12
87521311,83,1707.71,12
87521311,83,1743.862,12
87521311,83,1743.862,12
46695735,1,1656.009,12
5727230,1,302.834,1
57965661,8,36.347,1
34990584,6,145.356,1
14396559,100,1969.026,6
14396559,100,1969.026,7
466791,59,138.895,9
19043671,25,1661.717,11
525683,4,145.356,12
444267,22,1656.009,12
444267,22,1656.009,12
444267,22,1624.982,12
538337,34,145.356,2
182403,40,126.651,3
19137543,2,1691.343,3
19123333,9,1458.386,5
5189920,13,126.651,5
19005883,48,884.576,8
466791,59,161.315,9
17347287,18,1656.009,9
