263189,32.356620,100.213885,42,2012-10-21
474425,41.808645,123.432791,43,2012-10-21
194672,40.215925,117.150433,20,2012-10-22
5077147,31.317987,120.619907,8,2012-10-22
10522963,41.693800,100.099512,34,2012-10-22
843158,37.890277,112.550864,18,2012-10-22
1016289,25.049153,102.714601,10,2012-10-22
19186242,36.064226,103.823305,4,2012-10-23
853843,31.317987,120.619907,8,2012-10-23
19557032,34.657368,112.447525,2,2012-10-23
491777,38.048684,114.520828,31,2012-10-24
491777,38.048684,114.520828,31,2012-10-24
19124534,32.057236,118.778074,17,2012-10-24
366605,30.679943,104.067923,12,2012-10-24
853843,31.317987,120.619907,8,2012-10-24
17290872,40.001209,116.399127,20,2012-10-25
17415504,41.141248,122.073228,39,2012-10-25
17290872,40.001209,116.399127,20,2012-10-25
17290872,36.064226,103.823305,4,2012-10-25
19328154,18.257776,109.522771,14,2012-10-25
17290872,26.875351,100.229628,16,2012-10-25
853843,31.249162,121.487899,8,2012-10-25
764251,29.544606,106.530635,9,2012-10-25
17239410,29.610014,119.051449,66,2012-10-26
17275687,49.279245,120.042882,3,2012-10-26
17239410,30.259244,120.219375,8,2012-10-26
17253671,38.502621,106.206479,44,2012-10-27
17275687,40.828319,111.660351,29,2012-10-27
17057725,26.629907,106.709177,22,2012-10-27
764251,30.679943,104.067923,12,2012-10-27
9609660,31.249162,121.487899,8,2012-10-28
17152962,40.001209,116.399127,20,2012-10-28
437081,30.581084,114.316200,45,2012-10-29
182403,25.049153,102.714601,10,2012-10-29
17290872,36.640739,101.767921,32,2012-10-29
19328154,28.013633,109.518882,25,2012-10-29
17514111,33.317446,103.934044,1,2012-10-29
853843,31.249162,121.487899,8,2012-10-29
17152962,39.809815,116.740079,20,2012-10-30
16017828,28.774056,119.720833,68,2012-10-30
441514,36.682785,117.024967,6,2012-10-31
19563130,29.662557,91.111891,15,2012-10-31
853843,31.249162,121.487899,8,2012-10-31
799727,34.756610,113.649644,46,2012-10-31
19089257,34.657368,112.447525,2,2012-11-01
17137162,30.259244,120.219375,8,2012-11-01
764251,26.875351,100.229628,16,2012-11-01
9609660,31.249162,121.487899,8,2012-11-03
5250892,29.662557,91.111891,15,2012-11-03
2457586,36.682785,117.024967,6,2012-11-05
2457586,36.682785,117.024967,6,2012-11-05
131559,39.929986,116.395645,20,2012-11-06
366605,31.249162,121.487899,8,2012-11-06
10130482,29.662557,91.111891,15,2012-11-06
491777,38.465839,115.057407,31,2012-11-06
19572939,31.317987,120.619907,8,2012-11-06
2457586,36.195587,120.584906,19,2012-11-06
5189920,30.679943,104.067923,12,2012-11-06
136624,38.886565,115.494810,47,2012-11-06
17252994,41.693800,100.099512,34,2012-11-06
491777,38.048684,114.520828,31,2012-11-07
491777,38.000891,114.077952,31,2012-11-07
19186242,29.666586,116.009736,48,2012-11-07
817759,25.049153,102.714601,10,2012-11-08
715064,40.221724,116.216456,20,2012-11-08
9609660,31.249162,121.487899,8,2012-11-09
764251,29.662557,91.111891,15,2012-11-10
161814,39.929986,116.395645,20,2012-11-10
491777,38.048684,114.520828,31,2012-11-10
17333259,30.581084,114.316200,45,2012-11-10
19328154,25.049153,102.714601,10,2012-11-11
366605,29.600958,103.760824,41,2012-11-11
10017787,38.048684,114.520828,31,2012-11-12
17272609,36.064226,103.823305,4,2012-11-12
17274101,40.992521,117.933822,35,2012-11-12
17274101,40.009614,117.441159,20,2012-11-12
17326205,31.249162,121.487899,8,2012-11-13
366605,31.249162,121.487899,8,2012-11-13
764251,36.640739,101.767921,32,2012-11-13
487989,26.047125,119.330221,49,2012-11-14
19433438,26.583992,107.985353,50,2012-11-14
19043671,32.057236,118.778074,17,2012-11-14
764251,22.204118,113.557519,13,2012-11-16
19234519,30.679943,104.067923,12,2012-11-16
17132728,34.527350,110.090016,51,2012-11-16
19043671,27.748135,118.011543,52,2012-11-17
5210297,23.680249,113.684824,24,2012-11-18
5236023,34.812718,113.719536,46,2012-11-18
17253671,32.204409,119.455835,17,2012-11-18
638967,30.679943,104.067923,12,2012-11-18
394931,24.489231,118.103886,27,2012-11-18
766348,33.317446,103.934044,1,2012-11-18
571024,25.049153,102.714601,10,2012-11-19
13419,26.875351,100.229628,16,2012-11-19
10158442,31.249162,121.487899,8,2012-11-20
189460,28.213478,112.979353,53,2012-11-20
437081,22.293586,114.186124,11,2012-11-20
5162792,33.317446,103.934044,1,2012-11-20
5162792,36.064226,103.823305,4,2012-11-20
1058574,26.047125,119.330221,49,2012-11-21
597471,22.293586,114.186124,11,2012-11-21
10149267,29.662557,91.111891,15,2012-11-22
17563593,40.388771,94.158042,38,2012-11-23
17145259,30.679943,104.067923,12,2012-11-23
19088611,42.299757,123.854850,43,2012-11-23
17563593,38.939320,100.459892,54,2012-11-25
17326205,31.249162,121.487899,8,2012-11-25
294305,39.143930,117.210813,5,2012-11-25
5041499,39.929986,116.395645,20,2012-11-25
5041499,24.489231,118.103886,27,2012-11-25
